customer_id,customer_name,registration_date,customer_name_kana,email,gender,age,birth,pref
IK152942,hirata_yuujirou,1/1/2019 0:25,hirata_yuujirou,hirata_yuujirou@example.com,M,29,6/10/1990,Tokyo
TS808488,tamura_shiori,1/1/2019 1:13,tamura_shiori,tamura_shiori@example.com,F,33,5/20/1986,Tokyo
AS834628,hisano_yuki,1/1/2019 2:00,hisano_yuki,hisano_yuki@example.com,F,63,1/2/1956,Tokyo
AS345469,tsuruoka_kaoru,1/1/2019 4:48,tsuruoka_kaoru,tsuruoka_kaoru@example.com,M,74,3/25/1945,Tokyo
GD892565,oouchi_takashi,1/1/2019 4:54,oouchi_takashi,oouchi_takashi@example.com,M,54,8/5/1965,Tokyo
AS265381,kasai_yousuke,1/1/2019 5:51,kasai_yousuke,kasai_yousuke@example.com,M,69,8/9/1949,Tokyo
HD739338,hashiguchi_masaya,1/1/2019 5:51,hashiguchi_masaya,hashiguchi_masaya@example.com,M,45,6/4/1974,Tokyo
HI791416,hosoi_mayuko,1/1/2019 7:03,hosoi_mayuko,hosoi_mayuko@example.com,F,30,7/25/1989,Tokyo
HD819739,shiomi_haruka,1/1/2019 8:17,shiomi_haruka,shiomi_haruka@example.com,F,49,10/8/1969,Tokyo
OA239766,tamaki_yukiya,1/1/2019 8:59,tamaki_yukiya,tamaki_yukiya@example.com,M,22,1/12/1997,Tokyo
HD743252,abe_tetsuhiro,1/1/2019 15:13,abe_tetsuhiro,abe_tetsuhiro@example.com,M,51,11/8/1967,Tokyo
OA336650,yasuda_naoto,1/1/2019 15:57,yasuda_naoto,yasuda_naoto@example.com,M,68,8/13/1950,Tokyo
OA176831,hirayama_tomofumi,1/1/2019 17:30,hirayama_tomofumi,hirayama_tomofumi@example.com,M,24,6/13/1995,Tokyo
HD104458,kannbara_akihiro,1/1/2019 19:55,kannbara_akihiro,kannbara_akihiro@example.com,M,27,12/18/1991,Tokyo
HI652550,kaga_you,1/1/2019 19:55,kaga_you,kaga_you@example.com,F,43,2/10/1976,Tokyo
HD994980,kasai_nanase,1/1/2019 21:22,kasai_nanase,kasai_nanase@example.com,F,52,8/5/1967,Tokyo
GD455127,fukuyama_yoshiki,1/1/2019 21:29,fukuyama_yoshiki,fukuyama_yoshiki@example.com,M,55,9/30/1963,Tokyo
IK623902,fujiwara_meisa,1/1/2019 21:35,fujiwara_meisa,fujiwara_meisa@example.com,F,63,3/31/1956,Tokyo
OA308429,kiyota_haruka,1/1/2019 21:42,kiyota_haruka,kiyota_haruka@example.com,F,58,1/23/1961,Tokyo
OA640152,matsubara_ryou,1/1/2019 23:25,matsubara_ryou,matsubara_ryou@example.com,M,63,12/18/1955,Tokyo
PL407221,ando_erika,1/2/2019 0:42,ando_erika,ando_erika@example.com,F,70,11/14/1948,Tokyo
AS071660,tadokoro_hidetaka,1/2/2019 1:25,tadokoro_hidetaka,tadokoro_hidetaka@example.com,M,37,11/18/1981,Tokyo
OA558666,urano_aki,1/2/2019 3:00,urano_aki,urano_aki@example.com,F,61,11/14/1957,Tokyo
OA449732,oobayashi_suzuka,1/2/2019 3:27,oobayashi_suzuka,oobayashi_suzuka@example.com,F,67,9/28/1951,Tokyo
HI531972,miyasako_sora,1/2/2019 4:59,miyasako_sora,miyasako_sora@example.com,F,67,6/21/1952,Tokyo
IK661529,kikuta_yuu,1/2/2019 5:00,kikuta_yuu,kikuta_yuu@example.com,M,56,3/26/1963,Tokyo
HD176754,sakashita_kenji,1/2/2019 6:14,sakashita_kenji,sakashita_kenji@example.com,M,60,4/7/1959,Tokyo
